,episodes,start,finish,mean_nni,sdnn,sdsd,nni_50,pnni_50,nni_20,pnni_20,rmssd,median_nni,range_nni,cvsd,cvnni,mean_hr,max_hr,min_hr,std_hr
0,familiarization,13:38:51,13:39:49,387.59055118110234,387.59055118110234,387.59055118110234,387.59055118110234,387.59055118110234,387.59055118110234,387.59055118110234,387.59055118110234,387.59055118110234,387.59055118110234,387.59055118110234,387.59055118110234,387.59055118110234,387.59055118110234,387.59055118110234,387.59055118110234
1,call back,13:39:49,13:39:59,350.38461538461536,350.38461538461536,350.38461538461536,350.38461538461536,350.38461538461536,350.38461538461536,350.38461538461536,350.38461538461536,350.38461538461536,350.38461538461536,350.38461538461536,350.38461538461536,350.38461538461536,350.38461538461536,350.38461538461536,350.38461538461536
2,base-walking,13:39:59,13:41:25,349.2916666666667,349.2916666666667,349.2916666666667,349.2916666666667,349.2916666666667,349.2916666666667,349.2916666666667,349.2916666666667,349.2916666666667,349.2916666666667,349.2916666666667,349.2916666666667,349.2916666666667,349.2916666666667,349.2916666666667,349.2916666666667
3,base-standing,13:41:25,13:41:57,568.5702127659574,568.5702127659574,568.5702127659574,568.5702127659574,568.5702127659574,568.5702127659574,568.5702127659574,568.5702127659574,568.5702127659574,568.5702127659574,568.5702127659574,568.5702127659574,568.5702127659574,568.5702127659574,568.5702127659574,568.5702127659574
4,base-sitting,13:41:57,13:42:33,617.361224489796,617.361224489796,617.361224489796,617.361224489796,617.361224489796,617.361224489796,617.361224489796,617.361224489796,617.361224489796,617.361224489796,617.361224489796,617.361224489796,617.361224489796,617.361224489796,617.361224489796,617.361224489796
5,base-lying,13:42:33,13:43:40,600.7260273972603,600.7260273972603,600.7260273972603,600.7260273972603,600.7260273972603,600.7260273972603,600.7260273972603,600.7260273972603,600.7260273972603,600.7260273972603,600.7260273972603,600.7260273972603,600.7260273972603,600.7260273972603,600.7260273972603,600.7260273972603
6,body check,13:43:40,13:44:25,472.6270396270396,472.6270396270396,472.6270396270396,472.6270396270396,472.6270396270396,472.6270396270396,472.6270396270396,472.6270396270396,472.6270396270396,472.6270396270396,472.6270396270396,472.6270396270396,472.6270396270396,472.6270396270396,472.6270396270396,472.6270396270396
7,towel,13:44:25,13:45:32,407.3958333333333,407.3958333333333,407.3958333333333,407.3958333333333,407.3958333333333,407.3958333333333,407.3958333333333,407.3958333333333,407.3958333333333,407.3958333333333,407.3958333333333,407.3958333333333,407.3958333333333,407.3958333333333,407.3958333333333,407.3958333333333
8,human,13:45:32,13:45:33,371.75,371.75,371.75,371.75,371.75,371.75,371.75,371.75,371.75,371.75,371.75,371.75,371.75,371.75,371.75,371.75
9,object,13:45:33,13:45:56,340.8181818181818,340.8181818181818,340.8181818181818,340.8181818181818,340.8181818181818,340.8181818181818,340.8181818181818,340.8181818181818,340.8181818181818,340.8181818181818,340.8181818181818,340.8181818181818,340.8181818181818,340.8181818181818,340.8181818181818,340.8181818181818
10,human,13:45:56,13:46:00,352.3333333333333,352.3333333333333,352.3333333333333,352.3333333333333,352.3333333333333,352.3333333333333,352.3333333333333,352.3333333333333,352.3333333333333,352.3333333333333,352.3333333333333,352.3333333333333,352.3333333333333,352.3333333333333,352.3333333333333,352.3333333333333
11,car,13:46:00,13:46:38,346.5,346.5,346.5,346.5,346.5,346.5,346.5,346.5,346.5,346.5,346.5,346.5,346.5,346.5,346.5,346.5
12,kong stare,13:46:38,13:47:21,617.0121951219512,617.0121951219512,617.0121951219512,617.0121951219512,617.0121951219512,617.0121951219512,617.0121951219512,617.0121951219512,617.0121951219512,617.0121951219512,617.0121951219512,617.0121951219512,617.0121951219512,617.0121951219512,617.0121951219512,617.0121951219512
13,kong play,13:47:21,13:47:40,632.3666666666667,632.3666666666667,632.3666666666667,632.3666666666667,632.3666666666667,632.3666666666667,632.3666666666667,632.3666666666667,632.3666666666667,632.3666666666667,632.3666666666667,632.3666666666667,632.3666666666667,632.3666666666667,632.3666666666667,632.3666666666667
14,kong back,13:47:40,13:48:02,924.2,924.2,924.2,924.2,924.2,924.2,924.2,924.2,924.2,924.2,924.2,924.2,924.2,924.2,924.2,924.2
15,dog,13:48:02,13:48:17,547.75,547.75,547.75,547.75,547.75,547.75,547.75,547.75,547.75,547.75,547.75,547.75,547.75,547.75,547.75,547.75
16,call back,13:48:17,13:48:43,796.4285714285714,796.4285714285714,796.4285714285714,796.4285714285714,796.4285714285714,796.4285714285714,796.4285714285714,796.4285714285714,796.4285714285714,796.4285714285714,796.4285714285714,796.4285714285714,796.4285714285714,796.4285714285714,796.4285714285714,796.4285714285714
17,crate close,13:48:43,13:49:53,635.5454545454545,635.5454545454545,635.5454545454545,635.5454545454545,635.5454545454545,635.5454545454545,635.5454545454545,635.5454545454545,635.5454545454545,635.5454545454545,635.5454545454545,635.5454545454545,635.5454545454545,635.5454545454545,635.5454545454545,635.5454545454545
18,crate open,13:49:53,13:50:06,525.5,525.5,525.5,525.5,525.5,525.5,525.5,525.5,525.5,525.5,525.5,525.5,525.5,525.5,525.5,525.5
19,isolation,13:50:06,13:51:11,701.7435897435897,701.7435897435897,701.7435897435897,701.7435897435897,701.7435897435897,701.7435897435897,701.7435897435897,701.7435897435897,701.7435897435897,701.7435897435897,701.7435897435897,701.7435897435897,701.7435897435897,701.7435897435897,701.7435897435897,701.7435897435897
20,petting,13:51:11,13:51:31,526.6,526.6,526.6,526.6,526.6,526.6,526.6,526.6,526.6,526.6,526.6,526.6,526.6,526.6,526.6,526.6
21,stops petting,13:51:31,13:51:57,563.0,563.0,563.0,563.0,563.0,563.0,563.0,563.0,563.0,563.0,563.0,563.0,563.0,563.0,563.0,563.0
22,noise,13:51:57,13:52:15,370.6,370.6,370.6,370.6,370.6,370.6,370.6,370.6,370.6,370.6,370.6,370.6,370.6,370.6,370.6,370.6
